route,i,kind,raw,toUrl,app,attempt
home_support,0,soft,5030,4935,4935,1
home_support,1,soft,3858,3805,3805,2
home_support,2,soft,4272,4250,4250,1
home_support,3,soft,2073,2019,2019,1
home_support,4,soft,2552,2486,2486,1
home_support,5,soft,632,548,548,1
home_support,6,soft,881,835,835,1
home_support,7,soft,1244,1194,1194,1
home_support,8,soft,1254,1175,1175,1
home_support,9,soft,1303,979,979,1
home_support,10,soft,1168,1118,1118,1
home_support,11,soft,847,798,798,1
home_support,12,soft,914,875,875,1
home_support,13,soft,727,684,684,1
home_support,14,soft,735,714,714,1
home_support,15,soft,1274,1207,1207,1
home_support,16,soft,1011,968,968,1
home_support,17,soft,1085,1018,1018,1
home_support,18,soft,870,824,824,1
home_support,19,soft,764,730,730,1
support_home,0,soft,885,715,715,1
support_home,1,soft,3836,3809,3809,1
support_home,2,soft,551,490,490,1
support_home,3,soft,832,784,784,1
support_home,4,soft,805,754,754,1
support_home,5,soft,1012,948,948,1
support_home,6,soft,878,856,856,1
support_home,7,soft,711,637,637,1
support_home,8,soft,634,566,566,1
support_home,9,soft,539,451,451,1
support_home,10,soft,1766,1698,1698,1
support_home,11,soft,1586,1510,1510,1
support_home,12,soft,554,480,480,1
support_home,13,soft,357,281,281,1
support_home,14,soft,1643,1042,1042,1
support_home,15,soft,3921,3827,3827,1
support_home,16,soft,1579,1457,1457,1
support_home,17,soft,2650,2477,2477,1
support_home,18,soft,2045,1999,1999,1
support_home,19,soft,1346,1284,1284,1
home_privacy,0,soft_timeout,12689,12650,12650,3
home_privacy,1,soft,3416,3396,3396,1
home_privacy,2,soft,981,953,953,1
home_privacy,3,soft,684,653,653,1
home_privacy,4,soft,1580,1563,1563,1
home_privacy,5,soft,773,709,709,1
home_privacy,6,soft,984,968,968,1
home_privacy,7,soft,1038,1006,1006,1
home_privacy,8,soft,883,854,854,1
home_privacy,9,soft,1010,987,987,1
home_privacy,10,soft,1011,997,997,1
home_privacy,11,soft,587,565,565,1
home_privacy,12,soft,849,817,817,1
home_privacy,13,soft,1151,1106,1106,1
home_privacy,14,soft,744,674,674,1
home_privacy,15,soft,920,888,888,1
home_privacy,16,soft,1326,1310,1310,1
home_privacy,17,soft,2014,1962,1962,1
home_privacy,18,soft,630,607,607,1
home_privacy,19,soft,757,742,742,1
privacy_terms,0,soft,929,916,916,1
privacy_terms,1,soft,293,271,271,1
privacy_terms,2,soft,159,131,131,1
privacy_terms,3,soft,240,226,226,1
privacy_terms,4,soft,601,591,591,1
privacy_terms,5,soft,236,199,199,1
privacy_terms,6,soft,223,171,171,1
privacy_terms,7,soft,485,448,448,1
privacy_terms,8,soft,313,290,290,1
privacy_terms,9,soft,216,170,170,1
privacy_terms,10,soft,251,226,226,1
privacy_terms,11,soft,503,447,447,1
privacy_terms,12,soft,242,219,219,1
privacy_terms,13,soft,282,237,237,1
privacy_terms,14,soft,258,244,244,1
privacy_terms,15,soft,167,152,152,1
privacy_terms,16,soft,163,116,116,1
privacy_terms,17,soft,173,131,131,1
