SURFACE,ROUTE,ROLE,VIEWPORT,ORIENTATION,HTTP,PAGE_OVERFLOW,OVERLAP,NAV_MODE,FAB,PRIMARY_ACTION,MODAL_BOUNDS,RESULT
"Public Home","/","guest","320x608","portrait","200","NO","NO","FAB","VISIBLE","N/A","N/A","PASS"
"Public Home","/","guest","360x684","portrait","200","NO","NO","FAB","VISIBLE","N/A","N/A","PASS"
"Public Home","/","guest","375x713","portrait","200","NO","NO","FAB","VISIBLE","N/A","N/A","PASS"
"Public Home","/","guest","390x741","portrait","200","NO","NO","FAB","VISIBLE","N/A","N/A","PASS"
"Public Home","/","guest","393x747","portrait","200","NO","NO","FAB","VISIBLE","N/A","N/A","PASS"
"Public Home","/","guest","412x783","portrait","200","NO","NO","FAB","VISIBLE","N/A","N/A","PASS"
"Public Home","/","guest","430x817","portrait","200","NO","NO","FAB","VISIBLE","N/A","N/A","PASS"
"Public Home","/","guest","480x900","portrait","200","NO","NO","FAB","VISIBLE","N/A","N/A","PASS"
"Public Home","/","guest","540x900","portrait","200","NO","NO","FAB","VISIBLE","N/A","N/A","PASS"
"Public Home","/","guest","600x900","portrait","200","NO","NO","FAB","VISIBLE","N/A","N/A","PASS"
"Public Home","/","guest","640x900","portrait","200","NO","NO","FAB","VISIBLE","N/A","N/A","PASS"
"Public Home","/","guest","720x900","portrait","200","NO","NO","FAB","VISIBLE","N/A","N/A","PASS"
"Public Home","/","guest","768x900","portrait","200","NO","NO","FAB","VISIBLE","N/A","N/A","PASS"
"Public Home","/","guest","800x900","portrait","200","NO","NO","FAB","VISIBLE","N/A","N/A","PASS"
"Public Home","/","guest","820x900","portrait","200","NO","NO","FAB","VISIBLE","N/A","N/A","PASS"
"Public Home","/","guest","834x900","portrait","200","NO","NO","FAB","VISIBLE","N/A","N/A","PASS"
"Public Home","/","guest","912x900","portrait","200","NO","NO","FAB","VISIBLE","N/A","N/A","PASS"
"Public Home","/","guest","1024x900","portrait","200","NO","NO","FAB","VISIBLE","N/A","N/A","PASS"
"Public Home","/","guest","1280x900","portrait","200","NO","NO","DESKTOP_NAV","HIDDEN","N/A","N/A","PASS"
"Public Home","/","guest","1366x900","portrait","200","NO","NO","DESKTOP_NAV","HIDDEN","N/A","N/A","PASS"
"Public Home","/","guest","1440x900","portrait","200","NO","NO","DESKTOP_NAV","HIDDEN","N/A","N/A","PASS"
"Public Home","/","guest","1920x900","portrait","200","NO","NO","DESKTOP_NAV","HIDDEN","N/A","N/A","PASS"
"Flight Results","/flights/results?...","guest","320x844","portrait","200","NO","NO","FAB","VISIBLE","VISIBLE","N/A","PASS"
"Flight Results","/flights/results?...","guest","360x844","portrait","200","NO","NO","FAB","VISIBLE","VISIBLE","N/A","PASS"
"Flight Results","/flights/results?...","guest","390x844","portrait","200","NO","NO","FAB","VISIBLE","VISIBLE","N/A","PASS"
"Flight Results","/flights/results?...","guest","430x844","portrait","200","NO","NO","FAB","VISIBLE","VISIBLE","N/A","PASS"
"Flight Results","/flights/results?...","guest","768x844","portrait","200","NO","NO","FAB","VISIBLE","VISIBLE","N/A","PASS"
"Flight Results","/flights/results?...","guest","820x844","portrait","200","NO","NO","FAB","VISIBLE","VISIBLE","N/A","PASS"
"Flight Results","/flights/results?...","guest","912x844","portrait","200","NO","NO","FAB","VISIBLE","VISIBLE","N/A","PASS"
"Flight Results","/flights/results?...","guest","1024x844","portrait","200","NO","NO","FAB","VISIBLE","VISIBLE","N/A","PASS"
"Flight Results","/flights/results?...","guest","1280x900","portrait","200","NO","NO","DESKTOP_NAV","HIDDEN","VISIBLE","N/A","PASS"
"Flight Results","/flights/results?...","guest","1920x900","portrait","200","NO","NO","DESKTOP_NAV","HIDDEN","VISIBLE","N/A","PASS"
"Groups Landing","/groups","guest","320x844","portrait","200","NO","NO","FAB","VISIBLE","N/A","N/A","PASS"
"Groups Landing","/groups","guest","390x844","portrait","200","NO","NO","FAB","VISIBLE","N/A","N/A","PASS"
"Groups Landing","/groups","guest","430x844","portrait","200","NO","NO","FAB","VISIBLE","N/A","N/A","PASS"
"Groups Landing","/groups","guest","768x844","portrait","200","NO","NO","FAB","VISIBLE","N/A","N/A","PASS"
"Groups Landing","/groups","guest","1024x844","portrait","200","NO","NO","FAB","VISIBLE","N/A","N/A","PASS"
"Groups Landing","/groups","guest","1280x900","portrait","200","NO","NO","DESKTOP_NAV","HIDDEN","N/A","N/A","PASS"
"Login","/login","guest","320x844","portrait","200","NO","NO","FAB","VISIBLE","N/A","N/A","PASS"
"Login","/login","guest","390x844","portrait","200","NO","NO","FAB","VISIBLE","N/A","N/A","PASS"
"Login","/login","guest","430x844","portrait","200","NO","NO","FAB","VISIBLE","N/A","N/A","PASS"
"Login","/login","guest","768x844","portrait","200","NO","NO","FAB","VISIBLE","N/A","N/A","PASS"
